Week,C,Bash,BASIC,COBOL,Ruby,Rust,R,Objective-C,Nim,C#,Python,JavaScript,Java,Julia,Go
2015-05-31,84,17,15,3,16,1,45,4,1,93,25,43,99,1,4
2015-06-07,86,17,15,3,16,1,45,5,1,94,25,44,100,1,4
2015-06-14,85,17,15,3,16,1,44,5,1,93,24,44,99,1,4
2015-06-21,84,17,14,3,15,1,43,4,1,93,25,44,96,1,4
2015-06-28,83,16,13,3,16,1,43,4,1,89,24,41,96,1,4
2015-07-05,81,17,13,3,16,1,43,4,1,89,24,42,96,1,4
2015-07-12,82,17,12,3,15,1,45,4,1,90,24,43,99,1,4
2015-07-19,80,16,13,3,16,1,45,4,1,90,25,43,96,1,4
2015-07-26,81,17,12,3,16,1,43,4,1,88,24,43,94,1,4
2015-08-02,84,16,12,3,14,1,42,4,1,87,23,42,93,1,4
2015-08-09,83,16,13,3,15,1,43,4,1,85,23,41,91,1,4
2015-08-16,85,16,13,3,15,1,44,4,1,88,23,41,92,1,4
2015-08-23,86,17,13,3,15,1,43,4,1,87,25,42,92,1,4
2015-08-30,89,17,13,3,15,1,42,4,1,85,25,40,96,1,4
2015-09-06,94,16,15,3,14,1,44,4,1,89,26,42,97,1,4
2015-09-13,93,17,15,3,15,1,45,4,1,89,27,42,95,1,4
2015-09-20,92,17,15,3,14,1,46,4,1,88,27,42,94,1,4
2015-09-27,93,17,15,3,15,1,44,4,1,87,27,42,95,1,4
2015-10-04,99,17,15,3,15,1,46,4,1,91,27,43,97,1,4
2015-10-11,100,17,15,3,15,1,47,4,1,92,28,43,97,1,4
2015-10-18,94,18,15,3,15,1,46,4,1,92,28,43,98,1,4
2015-10-25,97,17,15,3,15,1,46,4,1,92,27,43,98,1,4
2015-11-01,96,18,15,3,15,1,47,4,1,92,28,44,97,1,4
2015-11-08,88,17,14,2,15,1,46,4,1,85,27,41,90,1,4
2015-11-15,95,17,15,3,15,1,47,4,1,91,29,43,94,1,4
2015-11-22,92,16,14,3,13,1,44,4,1,87,26,42,90,1,4
2015-11-29,93,17,15,3,14,1,46,4,1,89,28,43,90,1,4
2015-12-06,91,17,14,3,14,1,46,4,1,89,28,44,89,1,4
2015-12-13,89,17,14,3,15,1,43,4,1,89,27,43,88,1,4
2015-12-20,75,13,10,2,13,1,38,3,1,70,21,35,76,1,4
2015-12-27,69,12,9,1,11,1,36,3,1,57,19,30,68,1,4
2016-01-03,81,16,12,2,15,1,41,4,1,84,26,40,74,1,4
2016-01-10,83,17,12,2,15,1,44,5,1,90,28,42,77,1,4
2016-01-17,87,18,13,3,16,1,46,5,1,95,30,44,84,1,4
2016-01-24,87,19,13,3,16,1,48,5,1,93,31,45,83,1,4
2016-01-31,90,19,14,3,16,1,49,5,1,95,32,45,84,1,4
2016-02-07,88,18,14,3,16,2,47,4,1,91,31,44,84,1,4
2016-02-14,89,18,14,3,16,1,48,5,1,97,31,45,85,1,4
2016-02-21,89,18,14,3,16,1,48,5,1,99,32,45,83,1,4
2016-02-28,92,19,14,3,16,1,48,5,1,99,32,46,84,1,4
2016-03-06,93,19,14,3,16,1,49,5,1,98,33,46,86,1,5
2016-03-13,91,19,14,3,16,2,48,5,1,99,32,46,84,1,5
2016-03-20,85,18,12,2,15,2,47,5,1,89,31,43,80,1,4
2016-03-27,89,22,13,3,15,1,47,4,1,92,31,45,81,1,5
2016-04-03,93,22,13,3,16,1,50,5,1,98,32,45,83,1,4
2016-04-10,89,21,13,3,15,2,49,5,1,97,33,46,82,1,4
2016-04-17,90,21,14,3,15,1,50,5,1,100,33,46,84,1,4
2016-04-24,87,19,14,3,15,2,50,4,1,96,32,45,82,1,4
2016-05-01,83,18,13,2,14,1,48,4,1,88,31,42,78,1,4
2016-05-08,86,19,13,3,15,1,48,5,1,97,32,45,82,1,4
2016-05-15,85,19,13,3,15,1,48,5,1,98,32,46,80,1,4
2016-05-22,84,19,13,3,15,1,47,4,1,96,33,46,80,1,4
2016-05-29,83,18,12,3,15,1,46,4,1,95,31,45,78,1,4
2016-06-05,81,19,12,3,16,1,46,5,1,96,33,45,78,1,4
2016-06-12,79,18,12,3,15,1,46,5,1,92,32,46,78,1,4
2016-06-19,80,19,11,3,15,1,47,5,1,94,32,45,77,1,4
2016-06-26,77,18,10,3,15,1,45,5,1,90,31,44,76,1,4
2016-07-03,76,18,10,3,15,2,44,4,1,86,30,42,72,1,4
2016-07-10,76,17,10,3,15,2,43,4,1,87,30,42,72,1,4
2016-07-17,78,18,11,3,14,1,45,4,1,89,31,43,73,1,4
2016-07-24,79,18,10,3,15,1,44,4,1,88,30,42,75,1,4
2016-07-31,77,21,10,3,14,2,43,4,1,87,29,42,72,1,5
2016-08-07,77,19,10,3,14,1,43,4,1,86,28,41,70,1,4
2016-08-14,73,17,10,2,12,1,41,4,1,78,26,37,66,1,4
2016-08-21,80,19,11,3,14,1,44,4,1,89,30,43,72,1,4
2016-08-28,83,19,11,3,14,1,44,4,1,87,31,42,74,1,4
2016-09-04,85,19,11,3,13,1,45,4,1,87,32,42,72,1,4
2016-09-11,84,19,11,3,14,1,46,4,1,86,32,41,73,1,4
2016-09-18,90,20,12,3,13,1,47,4,1,92,34,44,77,1,4
2016-09-25,94,20,12,3,14,1,48,4,1,91,35,45,77,1,5
2016-10-02,90,20,12,3,14,1,48,4,1,89,34,43,75,1,4
2016-10-09,89,20,12,3,14,1,48,4,1,87,35,42,75,1,4
2016-10-16,95,20,13,3,14,1,50,4,1,95,36,46,81,1,5
2016-10-23,93,21,12,2,15,1,50,4,1,94,37,46,78,1,5
2016-10-30,90,20,11,2,14,1,50,4,1,88,36,44,74,1,4
2016-11-06,94,20,12,3,14,1,49,4,1,93,36,47,76,1,4
2016-11-13,93,21,13,3,15,1,51,5,1,95,39,49,80,1,5
2016-11-20,90,19,12,2,14,1,49,4,1,91,35,46,73,1,5
2016-11-27,93,21,12,2,15,2,50,4,1,93,38,48,75,1,4
2016-12-04,87,20,11,2,17,2,49,4,1,91,38,47,72,1,5
2016-12-11,81,20,11,2,15,2,47,4,1,92,36,47,72,1,5
2016-12-18,75,18,10,2,14,2,43,4,1,86,33,45,68,1,5
2016-12-25,64,14,8,2,13,2,36,3,1,65,26,34,56,1,4
2017-01-01,70,17,9,2,13,2,41,4,1,75,32,40,63,1,4
2017-01-08,75,21,10,2,15,2,45,4,1,89,36,46,69,1,5
2017-01-15,79,21,11,2,14,2,46,4,1,90,37,48,73,1,5
2017-01-22,79,21,11,3,15,2,48,4,1,89,38,47,73,1,5
2017-01-29,79,21,11,3,15,2,49,4,1,90,39,48,74,1,5
2017-02-05,81,22,12,3,15,2,51,5,1,95,41,50,76,1,5
2017-02-12,83,22,12,2,15,2,51,5,1,97,42,50,77,1,5
2017-02-19,84,22,12,3,15,2,52,4,1,98,42,51,78,1,5
2017-02-26,85,22,12,3,16,2,52,4,1,98,42,51,78,1,5
2017-03-05,84,22,13,3,15,2,52,4,1,99,43,51,77,1,5
2017-03-12,83,22,12,3,15,2,50,4,1,98,43,51,79,1,5
2017-03-19,86,22,12,3,15,2,52,4,1,99,43,52,79,1,5
2017-03-26,85,21,11,3,15,2,53,4,1,98,46,51,79,1,5
2017-04-02,83,22,11,2,14,2,51,4,1,95,42,51,77,1,5
2017-04-09,80,21,10,3,15,2,52,4,1,93,41,48,72,1,5
2017-04-16,83,20,10,3,14,2,51,4,1,91,41,48,75,1,5
2017-04-23,81,21,11,3,14,2,53,4,1,92,42,50,75,1,5
2017-04-30,77,19,10,2,13,2,50,4,1,84,40,46,69,1,5
2017-05-07,78,21,11,3,14,2,51,4,1,94,41,50,73,1,5
2017-05-14,77,21,10,3,14,2,48,4,1,91,40,49,70,1,5
2017-05-21,76,20,10,3,14,2,47,4,1,89,39,46,69,1,5
2017-05-28,72,19,9,2,14,2,46,3,1,85,38,45,66,1,4
2017-06-04,71,20,10,3,14,1,46,4,1,85,39,46,66,1,5
2017-06-11,70,20,9,3,13,2,45,4,1,86,40,47,66,1,5
2017-06-18,69,20,9,2,14,2,46,4,1,86,42,48,67,1,5
2017-06-25,65,20,8,2,14,2,46,4,1,83,40,45,63,1,5
2017-07-02,69,20,8,2,13,2,45,4,1,82,39,45,64,1,4
2017-07-09,70,21,9,2,14,2,46,4,1,86,41,47,66,1,5
2017-07-16,69,21,8,2,14,2,46,4,1,86,41,47,66,1,5
2017-07-23,69,20,9,2,13,2,45,4,1,87,40,46,67,1,5
2017-07-30,69,21,9,2,13,2,43,4,1,85,40,47,64,1,5
2017-08-06,68,20,9,2,13,2,44,3,1,83,39,46,61,1,5
2017-08-13,66,19,8,2,12,2,42,3,1,79,37,43,60,1,5
2017-08-20,69,19,9,2,12,2,42,3,1,81,38,44,61,1,5
2017-08-27,71,20,9,2,13,2,43,3,1,83,40,45,62,1,5
2017-09-03,77,21,9,2,13,2,44,4,1,82,40,45,64,1,5
2017-09-10,83,22,10,3,13,1,47,4,1,87,45,47,68,1,5
2017-09-17,85,23,10,2,13,2,48,4,1,88,45,48,71,1,5
2017-09-24,78,23,10,2,13,2,48,4,1,85,45,47,68,1,5
2017-10-01,82,23,10,2,13,2,48,3,1,84,44,45,66,1,5
2017-10-08,84,23,10,2,13,2,49,3,1,89,47,49,71,1,5
2017-10-15,79,22,10,3,13,2,50,3,1,85,46,46,66,1,5
2017-10-22,84,21,10,2,13,2,51,3,1,91,48,48,71,1,5
2017-10-29,82,22,10,2,13,2,51,4,1,87,46,46,69,1,5
2017-11-05,87,23,10,3,13,2,51,4,1,92,49,49,72,1,5
2017-11-12,86,22,11,2,13,2,52,3,1,93,49,50,71,1,5
2017-11-19,80,19,10,2,12,2,48,3,1,86,44,47,66,1,5
2017-11-26,82,21,10,2,13,2,51,3,1,88,48,48,68,1,5
2017-12-03,83,21,10,2,13,2,52,4,1,90,49,49,68,1,6
2017-12-10,79,21,9,2,13,2,49,3,1,88,46,48,66,1,5
2017-12-17,73,19,8,2,12,2,44,3,1,80,43,45,60,1,5
2017-12-24,58,12,6,1,9,2,37,2,1,58,32,33,45,1,5
2017-12-31,60,16,7,2,10,2,40,3,1,64,35,36,50,1,4
2018-01-07,70,20,9,2,12,2,45,3,1,83,44,46,62,1,5
2018-01-14,70,20,9,2,12,2,47,3,1,83,45,46,62,1,5
2018-01-21,72,21,9,2,12,2,49,3,1,84,47,48,63,1,5
2018-01-28,77,21,9,3,13,2,52,3,1,85,49,48,66,1,6
2018-02-04,77,21,10,2,13,2,50,3,1,87,49,49,66,1,6
2018-02-11,74,21,9,2,12,2,51,3,1,84,48,46,63,1,5
2018-02-18,75,21,10,3,13,2,53,3,1,85,48,47,64,1,5
2018-02-25,73,21,9,2,12,2,50,3,1,82,48,46,64,1,5
2018-03-04,76,21,9,3,12,2,52,3,1,85,49,47,65,1,5
2018-03-11,75,20,9,3,12,2,51,3,1,87,51,48,66,1,5
2018-03-18,75,21,9,2,12,2,52,3,1,86,50,48,66,1,6
2018-03-25,73,20,8,2,11,2,51,3,1,83,49,47,64,1,5
2018-04-01,71,19,8,2,12,2,52,3,1,80,47,46,62,1,5
2018-04-08,77,21,9,2,12,2,54,3,1,85,49,48,64,1,6
2018-04-15,76,21,9,2,12,2,54,3,1,87,51,49,66,1,6
2018-04-22,74,21,9,2,12,2,54,3,1,84,49,47,64,1,6
2018-04-29,68,18,8,2,10,2,52,2,1,73,44,41,56,1,5
2018-05-06,73,19,8,2,12,2,52,3,1,82,47,46,61,1,5
2018-05-13,70,20,8,2,12,2,52,3,1,84,48,47,61,1,5
2018-05-20,68,20,8,2,12,2,50,3,1,81,49,47,61,1,5
2018-05-27,69,19,8,2,12,2,48,3,1,79,47,45,59,1,5
2018-06-03,67,21,8,2,12,2,48,3,1,84,49,47,60,1,5
2018-06-10,62,20,7,2,11,2,48,3,1,79,48,45,57,1,5
2018-06-17,63,19,7,2,12,2,48,3,1,80,48,45,57,1,5
2018-06-24,63,20,7,2,12,2,47,3,1,79,48,45,57,1,5
2018-07-01,62,18,7,2,11,2,44,3,1,74,45,43,55,1,5
2018-07-08,65,20,7,2,11,2,47,3,1,79,47,44,58,1,5
2018-07-15,65,20,7,2,12,2,47,3,1,80,48,45,59,1,6
2018-07-22,66,20,7,2,11,2,47,3,1,79,49,46,58,1,6
2018-07-29,67,19,7,2,11,2,46,3,1,78,47,45,57,1,5
2018-08-05,67,19,7,2,11,2,46,3,1,77,47,45,57,1,6
2018-08-12,65,18,6,2,11,2,45,2,1,71,45,42,53,1,6
2018-08-19,69,19,7,2,11,2,45,3,1,75,47,45,56,1,5
2018-08-26,76,20,7,2,11,2,45,3,1,76,47,44,57,1,6
2018-09-02,77,19,8,2,11,2,45,3,1,76,49,43,58,1,6
2018-09-09,78,21,8,2,12,2,48,2,1,78,51,44,59,1,6
2018-09-16,81,20,8,2,11,2,50,3,1,79,53,45,62,1,6
2018-09-23,83,20,8,2,11,2,50,3,1,79,53,44,61,1,5
2018-09-30,81,20,8,2,11,2,50,2,1,77,52,43,58,1,5
2018-10-07,80,20,8,2,11,2,50,2,1,77,54,44,60,1,5
2018-10-14,76,21,8,2,11,2,50,2,1,78,55,44,60,1,6
2018-10-21,81,21,8,2,11,2,50,3,1,80,56,44,63,1,6
2018-10-28,77,20,8,2,11,2,49,2,1,75,52,42,58,1,6
2018-11-04,72,21,8,2,11,2,48,2,1,72,52,42,54,1,5
2018-11-11,79,21,8,2,11,2,48,2,1,80,55,45,59,1,5
2018-11-18,74,19,8,2,10,2,46,2,1,75,50,42,57,1,5
2018-11-25,77,21,9,2,10,2,49,2,1,78,54,44,60,1,6
2018-12-02,77,21,8,2,11,3,50,2,1,79,54,45,59,1,6
2018-12-09,75,20,7,2,10,3,46,2,1,77,51,42,55,1,6
2018-12-16,69,18,7,2,10,2,42,2,1,71,47,40,51,1,5
2018-12-23,55,11,5,1,7,2,34,2,1,48,34,29,38,1,4
2018-12-30,53,13,5,1,7,2,36,2,1,48,36,29,39,1,4
2019-01-06,66,19,7,2,10,2,42,2,1,72,49,42,52,1,5
2019-01-13,65,20,7,2,10,2,43,2,1,71,49,40,53,1,5
2019-01-20,69,20,7,2,10,2,45,2,1,74,51,41,56,1,5
2019-01-27,71,20,8,2,10,2,46,2,1,74,53,43,56,1,6
2019-02-03,72,20,8,2,11,2,47,2,1,74,52,42,55,1,5
2019-02-10,72,21,8,2,11,3,48,2,1,76,54,45,59,1,5
2019-02-17,70,21,8,2,10,3,47,2,1,79,55,45,58,1,6
2019-02-24,72,20,8,2,11,2,48,2,1,75,55,44,55,1,6
2019-03-03,70,21,8,2,10,3,47,2,1,76,56,44,56,1,6
2019-03-10,71,20,7,2,11,3,48,2,1,76,56,45,57,1,6
2019-03-17,68,20,8,2,10,2,47,2,1,75,55,43,55,1,6
2019-03-24,74,20,7,2,11,3,49,2,1,77,55,44,55,1,6
2019-03-31,73,21,8,2,11,3,51,2,1,78,55,44,57,1,6
2019-04-07,71,21,8,2,11,3,49,2,1,77,56,43,56,1,6
2019-04-14,67,19,6,2,11,3,48,2,1,72,53,41,52,1,6
2019-04-21,67,19,6,2,10,3,48,2,1,70,53,41,54,1,6
2019-04-28,62,18,6,2,9,3,46,2,1,62,48,38,49,1,5
2019-05-05,66,20,7,2,10,3,47,2,1,72,52,42,54,1,6
2019-05-12,67,20,7,2,10,3,46,2,1,77,55,44,55,1,6
2019-05-19,63,20,7,2,10,3,45,2,1,75,54,44,53,1,6
2019-05-26,62,19,6,2,10,3,44,2,1,73,52,42,51,1,5
2019-06-02,63,20,6,2,10,3,45,2,1,72,55,43,51,1,6
2019-06-09,64,21,7,2,10,3,45,2,1,74,57,44,53,1,6
2019-06-16,65,20,7,2,10,3,44,2,1,75,58,44,53,1,6
2019-06-23,64,20,6,2,10,3,43,2,1,74,57,44,51,1,6
2019-06-30,65,19,7,2,10,3,42,2,1,73,54,43,52,1,6
2019-07-07,65,21,6,2,11,3,43,2,1,73,59,45,53,1,6
2019-07-14,64,20,6,2,10,3,41,2,1,71,57,43,53,1,6
2019-07-21,63,19,6,2,10,3,41,2,1,67,56,44,51,1,6
2019-07-28,67,19,6,2,10,3,40,2,1,66,55,43,50,1,6
2019-08-04,62,19,6,2,10,3,40,2,1,66,55,42,49,1,6
2019-08-11,60,19,6,2,10,3,41,2,1,64,53,41,49,1,6
2019-08-18,70,20,7,2,10,3,43,2,1,74,57,45,54,1,6
2019-08-25,72,20,7,2,10,3,42,2,1,74,56,44,54,1,6
2019-09-01,70,19,7,2,10,3,42,2,1,71,58,43,54,1,6
2019-09-08,75,21,8,3,11,3,45,2,1,76,62,44,57,1,6
2019-09-15,79,21,7,2,10,3,47,2,1,76,64,45,60,1,6
2019-09-22,79,21,8,2,10,3,47,2,1,77,64,45,58,1,6
2019-09-29,75,20,7,2,10,3,46,2,1,73,61,43,53,1,5
2019-10-06,75,22,7,2,10,3,47,2,1,73,63,43,55,1,6
2019-10-13,79,21,7,2,10,3,46,2,1,76,64,45,58,1,6
2019-10-20,73,21,7,2,10,3,46,2,1,73,62,44,56,1,6
2019-10-27,67,19,7,2,9,3,44,2,1,68,58,41,50,1,5
2019-11-03,75,21,7,2,10,3,46,2,1,72,63,44,56,1,5
2019-11-10,76,20,7,2,10,3,46,2,1,74,63,43,55,1,6
2019-11-17,75,20,7,2,10,3,46,2,1,76,65,45,56,1,6
2019-11-24,70,18,7,2,9,3,42,2,1,72,58,41,51,1,5
2019-12-01,73,19,7,2,9,4,45,1,1,73,61,43,53,1,5
2019-12-08,70,19,7,2,9,3,43,2,1,71,59,42,51,1,5
2019-12-15,66,18,6,2,9,3,40,2,1,71,57,42,50,1,5
2019-12-22,52,12,4,1,7,3,31,1,1,48,42,30,36,1,4
2019-12-29,49,12,4,1,6,3,30,1,1,44,40,28,35,1,4
2020-01-05,62,18,6,2,9,3,38,1,1,67,57,40,48,1,5
2020-01-12,61,19,6,2,9,3,39,1,1,69,59,41,50,1,5
2020-01-19,66,20,7,2,9,3,41,1,1,72,60,43,52,1,5
2020-01-26,65,20,7,2,9,3,42,1,1,70,61,42,52,1,5
2020-02-02,67,20,7,2,9,4,42,1,1,73,64,44,53,1,5
2020-02-09,76,22,6,2,9,3,46,2,1,75,65,44,54,1,5
2020-02-16,79,22,6,2,8,3,48,2,1,78,68,45,55,1,5
2020-02-23,79,21,6,2,8,3,47,2,1,74,66,45,54,1,5
2020-03-01,80,23,6,2,8,3,46,2,1,75,66,45,54,1,4
2020-03-08,72,20,5,2,8,3,44,1,1,70,60,42,49,1,4
2020-03-15,66,18,5,2,7,3,41,1,1,60,55,39,44,1,4
2020-03-22,66,19,5,2,7,3,43,1,1,60,56,39,44,1,4
2020-03-29,62,19,5,2,8,3,43,1,1,60,62,40,46,1,5
2020-04-05,62,19,5,8,9,3,44,1,1,59,61,41,46,1,5
2020-04-12,61,18,5,5,9,3,44,1,1,60,63,42,47,1,5
2020-04-19,61,19,6,3,9,3,45,1,1,62,65,42,48,1,5
2020-04-26,58,18,5,2,8,3,45,1,1,58,63,40,45,1,5
2020-05-03,58,18,5,2,9,3,45,1,1,60,62,41,45,1,5
2020-05-10,60,19,6,2,9,3,44,1,1,63,64,43,47,1,6
2020-05-17,60,20,5,2,9,4,44,1,1,66,65,44,47,1,6
